s,forward,upward,foamSource,crestMask,dForwardDs,dUpwardDs,flowSpeed,breakingWeight
-240,4.11133e-23,0.65758,0,0,0,0,7,0
-239.531,5.01107e-23,0.660667,0,0,2.12486e-23,0.00658746,7,0
-239.062,6.10533e-23,0.663762,0,0,2.58376e-23,0.00660543,7,0
-238.592,7.43571e-23,0.666865,0,0,3.14058e-23,0.00662341,7,0
-238.123,9.0525e-23,0.669977,0,0,3.81592e-23,0.00664132,7,0
-237.654,1.10166e-22,0.673098,0,0,4.63463e-23,0.00665904,7,0
-237.185,1.34017e-22,0.676226,0,0,5.62683e-23,0.00667682,7,0
-236.716,1.62969e-22,0.679363,0,0,6.82883e-23,0.0066948,7,0
-236.246,1.981e-22,0.682509,0,0,8.28432e-23,0.00671258,7,0
-235.777,2.40711e-22,0.685663,0,0,1.00464e-22,0.0067303,7,0
-235.308,2.92377e-22,0.688825,0,0,1.21783e-22,0.00674802,7,0
-234.839,3.54994e-22,0.691995,0,0,1.47565e-22,0.00676568,7,0
-234.37,4.30854e-22,0.695174,0,0,1.78741e-22,0.00678328,7,0
-233.9,5.22727e-22,0.698361,0,0,2.16418e-22,0.00680081,7,0
-233.431,6.33944e-22,0.701556,0,0,2.61932e-22,0.00681834,7,0
-232.962,7.68528e-22,0.704759,0,0,3.169e-22,0.0068358,7,0
-232.493,9.31329e-22,0.70797,0,0,3.83264e-22,0.00685314,7,0
-232.023,1.12819e-21,0.71119,0,0,4.6333e-22,0.00687048,7,0
-231.554,1.36613e-21,0.714418,0,0,5.59896e-22,0.00688795,7,0
-231.085,1.6536e-21,0.717654,0,0,6.7635e-22,0.00690529,7,0
-230.616,2.00082e-21,0.720898,0,0,8.167e-22,0.0069225,7,0
-230.147,2.42001e-21,0.72415,0,0,9.85772e-22,0.00693965,7,0
-229.677,2.92589e-21,0.72741,0,0,1.18939e-21,0.00695648,7,0
-229.208,3.53615e-21,0.730678,0,0,1.43453e-21,0.00697357,7,0
-228.739,4.27208e-21,0.733954,0,0,1.7295e-21,0.00699085,7,0
-228.27,5.15915e-21,0.737238,0,0,2.08432e-21,0.00700793,7,0
-227.801,6.22803e-21,0.740531,0,0,2.51097e-21,0.00702496,7,0
-227.331,7.51548e-21,0.743831,0,0,3.02379e-21,0.00704172,7,0
-226.862,9.06561e-21,0.747139,0,0,3.63988e-21,0.00705849,7,0
-226.393,1.09312e-20,0.750455,0,0,4.37987e-21,0.00707526,7,0
-225.924,1.31758e-20,0.753778,0,0,5.26822e-21,0.00709203,7,0
-225.455,1.5875e-20,0.75711,0,0,6.33425e-21,0.0071088,7,0
-224.985,1.91199e-20,0.760449,0,0,7.61301e-21,0.00712518,7,0
-224.516,2.30192e-20,0.763796,0,0,9.14639e-21,0.00714157,7,0
-224.047,2.7703e-20,0.767151,0,0,1.09843e-20,0.00715828,7,0
-223.578,3.3327e-20,0.770514,0,0,1.31864e-20,0.00717473,7,0
-223.109,4.00774e-20,0.773884,0,0,1.58242e-20,0.00719111,7,0
-222.639,4.81767e-20,0.777262,0,0,1.89818e-20,0.0072075,7,0
-222.17,5.78903e-20,0.780648,0,0,2.27608e-20,0.0072237,7,0
-221.701,6.95358e-20,0.784041,0,0,2.72823e-20,0.00723989,7,0
-221.232,8.34925e-20,0.787442,0,0,3.26883e-20,0.00725609,7,0
-220.762,1.00211e-19,0.79085,0,0,3.91495e-20,0.00727222,7,0
-220.293,1.20231e-19,0.794266,0,0,4.68709e-20,0.00728817,7,0
-219.824,1.44195e-19,0.797689,0,0,5.60927e-20,0.00730411,7,0
-219.355,1.72869e-19,0.80112,0,0,6.71029e-20,0.0073198,7,0
-218.886,2.07166e-19,0.804558,0,0,8.02458e-20,0.0073358,7,0
-218.416,2.48173e-19,0.808004,0,0,9.59233e-20,0.00735175,7,0
-217.947,2.97182e-19,0.811457,0,0,1.14616e-19,0.00736718,7,0
-217.478,3.55731e-19,0.814918,0,0,1.369e-19,0.00738274,7,0
-217.009,4.25651e-19,0.818385,0,0,1.63455e-19,0.0073983,7,0
-216.54,5.09119e-19,0.82186,0,0,1.95088e-19,0.00741387,7,0
-216.07,6.08725e-19,0.825343,0,0,2.32749e-19,0.00742936,7,0
-215.601,7.27535e-19,0.828832,0,0,2.77567e-19,0.00744467,7,0
-215.132,8.69199e-19,0.832329,0,0,3.30889e-19,0.00745979,7,0
-214.663,1.03805e-18,0.835833,0,0,3.94302e-19,0.00747497,7,0
-214.194,1.23922e-18,0.839344,0,0,4.69683e-19,0.00749021,7,0
-213.724,1.47881e-18,0.842862,0,0,5.59264e-19,0.00750533,7,0
-213.255,1.76404e-18,0.846387,0,0,6.65671e-19,0.00752025,7,0
-212.786,2.10348e-18,0.849919,0,0,7.92008e-19,0.00753512,7,0
-212.317,2.50727e-18,0.853458,0,0,9.41955e-19,0.00754992,7,0
-211.848,2.98743e-18,0.857004,0,0,1.11988e-18,0.00756472,7,0
-211.378,3.55819e-18,0.860557,0,0,1.33088e-18,0.00757939,7,0
-210.909,4.23635e-18,0.864116,0,0,1.58099e-18,0.00759393,7,0
-210.44,5.04182e-18,0.867683,0,0,1.87739e-18,0.00760854,7,0
-209.971,5.99812e-18,0.871256,0,0,2.22848e-18,0.00762283,7,0
-209.501,7.13306e-18,0.874836,0,0,2.64423e-18,0.00763725,7,0
-209.032,8.47951e-18,0.878423,0,0,3.13632e-18,0.00765167,7,0
-208.563,1.00762e-17,0.882017,0,0,3.71851e-18,0.00766577,7,0
-208.094,1.1969e-17,0.885617,0,0,4.40705e-18,0.00767993,7,0
-207.625,1.42119e-17,0.889224,0,0,5.22104e-18,0.00769397,7,0
-207.155,1.68685e-17,0.892837,0,0,6.18321e-18,0.00770788,7,0
-206.686,2.00143e-17,0.896457,0,0,7.31965e-18,0.00772173,7,0
-206.217,2.37374e-17,0.900083,0,0,8.66132e-18,0.00773551,7,0
-205.748,2.81422e-17,0.903716,0,0,1.02451e-17,0.00774923,7,0
-205.279,3.33516e-17,0.907355,0,0,1.2114e-17,0.00776289,7,0
-204.809,3.95102e-17,0.911001,0,0,1.43179e-17,0.00777629,7,0
-204.34,4.67878e-17,0.914653,0,0,1.69163e-17,0.00778982,7,0
-203.871,5.53847e-17,0.918311,0,0,1.99789e-17,0.00780328,7,0
